iter	Passed	Remaining
0	139	13795
1	140	6865
2	140	4555
3	141	3390
4	141	2696
5	142	2233
6	143	1901
7	143	1651
8	144	1459
9	144	1304
10	145	1176
11	145	1069
12	146	979
13	146	901
14	147	834
15	147	776
16	148	724
17	148	678
18	149	637
19	150	600
20	150	567
21	151	535
22	151	507
23	152	481
24	152	457
25	153	435
26	153	415
27	154	396
28	154	378
29	155	362
30	155	346
31	156	331
32	156	318
33	157	305
34	157	293
35	158	281
36	158	270
37	159	260
38	160	250
39	160	240
40	161	231
41	161	222
42	161	214
43	162	206
44	162	199
45	163	191
46	164	184
47	164	178
48	165	171
49	165	165
50	166	159
51	166	153
52	167	148
53	167	142
54	167	137
55	168	132
56	169	127
57	169	122
58	170	118
59	170	113
60	171	109
61	171	105
62	172	101
63	172	97
64	173	93
65	173	89
66	174	85
67	174	82
68	175	78
69	175	75
70	176	72
71	176	68
72	177	65
73	177	62
74	178	59
75	178	56
76	179	53
77	179	50
78	180	47
79	180	45
80	181	42
81	182	39
82	182	37
83	183	34
84	183	32
85	184	29
86	184	27
87	185	25
88	185	22
89	186	20
90	186	18
91	187	16
92	187	14
93	188	12
94	188	9
95	189	7
96	189	5
97	190	3
98	190	1
99	191	0
