iter	Passed	Remaining
0	136	136531
1	137	68426
2	137	45748
3	138	34397
4	138	27598
5	139	23062
6	139	19826
7	140	17406
8	140	15508
9	141	14003
10	142	12784
11	142	11746
12	143	10871
13	143	10121
14	144	9471
15	144	8901
16	145	8403
17	145	7957
18	146	7557
19	146	7193
20	147	6866
21	147	6569
22	148	6300
23	148	6056
24	149	5825
25	149	5613
26	150	5418
27	150	5239
28	151	5075
29	152	4916
30	152	4766
31	153	4629
32	153	4499
33	154	4377
34	154	4263
35	155	4154
36	155	4050
37	156	3954
38	156	3860
39	157	3772
40	157	3691
41	158	3610
42	158	3531
43	159	3459
44	159	3389
45	160	3322
46	160	3256
47	161	3196
48	161	3139
49	162	3082
50	162	3027
51	163	2976
52	163	2925
53	164	2876
54	164	2828
55	165	2783
56	165	2738
57	166	2697
58	166	2657
59	167	2617
60	167	2579
61	168	2542
62	168	2506
63	168	2470
64	169	2436
65	169	2403
66	170	2371
67	170	2340
68	171	2310
69	171	2280
70	172	2253
71	172	2225
72	173	2199
73	173	2174
74	174	2149
75	174	2125
76	175	2101
77	175	2078
78	176	2055
79	176	2033
80	177	2012
81	178	1993
82	178	1970
83	178	1950
84	179	1931
85	179	1911
86	180	1893
87	181	1876
88	181	1858
89	182	1840
90	182	1824
91	183	1807
92	183	1792
93	184	1777
94	184	1761
95	185	1746
96	186	1732
97	186	1718
98	187	1703
99	187	1689
100	188	1675
101	188	1662
102	189	1649
103	189	1636
104	190	1623
105	191	1611
106	191	1599
107	192	1587
108	192	1575
109	193	1564
110	194	1553
111	194	1543
112	195	1532
113	195	1522
114	196	1511
115	197	1501
116	197	1490
117	197	1479
118	198	1469
119	198	1458
120	199	1448
121	199	1439
122	200	1430
123	201	1421
124	201	1411
125	202	1402
126	202	1392
127	203	1384
128	203	1375
129	204	1366
130	204	1357
131	205	1350
132	205	1342
133	206	1334
134	207	1326
135	207	1319
136	208	1311
137	208	1304
138	209	1296
139	209	1289
140	210	1281
141	210	1273
142	211	1266
143	211	1259
144	212	1252
145	213	1246
146	213	1239
147	214	1232
148	214	1225
149	215	1218
150	215	1212
151	216	1206
152	216	1200
153	217	1194
154	217	1188
155	218	1182
156	219	1176
157	219	1169
158	220	1164
159	220	1158
160	221	1151
161	221	1146
162	222	1141
163	222	1135
164	223	1130
165	223	1124
166	224	1119
167	225	1114
168	225	1109
169	226	1104
170	226	1099
171	227	1094
172	228	1090
173	228	1085
174	229	1080
175	229	1076
176	230	1071
177	231	1067
178	231	1063
179	232	1058
180	232	1054
181	233	1049
182	234	1044
183	234	1040
184	235	1036
185	235	1031
186	236	1026
187	236	1022
188	237	1017
189	237	1013
190	238	1010
191	238	1005
192	239	1001
193	239	996
194	240	992
195	241	988
196	241	985
197	242	981
198	242	978
199	243	974
200	244	970
201	244	966
202	245	962
203	245	958
204	246	955
205	246	951
206	247	947
207	247	943
208	248	940
209	249	936
210	249	933
211	250	930
212	250	927
213	251	923
214	251	919
215	252	916
216	253	913
217	253	909
218	254	905
219	254	902
220	255	899
221	255	895
222	256	892
223	256	888
224	257	885
225	257	882
226	258	879
227	258	876
228	259	873
229	259	870
230	260	866
231	261	864
232	261	861
233	262	857
234	262	854
235	263	851
236	263	848
237	264	845
238	264	843
239	265	840
240	265	837
241	266	834
242	267	832
243	267	829
244	268	826
245	268	823
246	269	820
247	269	817
248	270	814
249	270	812
250	271	809
251	271	807
252	272	805
253	273	802
254	273	800
255	274	797
256	275	795
257	275	793
258	276	791
259	277	788
260	277	786
261	278	784
262	278	781
263	279	779
264	280	776
265	280	774
266	281	772
267	282	770
268	282	768
269	283	766
270	283	763
271	284	761
272	285	759
273	285	757
274	286	754
275	286	752
276	287	750
277	288	748
278	288	746
279	289	744
280	290	742
281	290	740
282	291	738
283	291	736
284	292	733
285	293	732
286	293	730
287	294	728
288	295	726
289	295	724
290	296	722
291	297	720
292	297	718
293	298	716
294	299	714
295	299	713
296	300	711
297	301	709
298	301	707
299	302	705
300	302	702
301	303	700
302	303	698
303	304	696
304	304	694
305	305	693
306	306	691
307	306	689
308	307	687
309	307	685
310	308	683
311	308	681
312	309	679
313	309	677
314	310	675
315	311	673
316	311	671
317	312	669
318	312	667
319	313	665
320	313	663
321	314	662
322	314	660
323	315	658
324	316	656
325	316	654
326	317	653
327	317	651
328	318	649
329	319	647
330	319	645
331	320	644
332	320	642
333	321	641
334	322	639
335	322	638
336	323	636
337	324	634
338	324	633
339	325	631
340	325	629
341	326	627
342	326	626
343	327	624
344	327	622
345	328	620
346	329	619
347	329	617
348	330	615
349	330	613
350	331	612
351	331	610
352	332	608
353	332	607
354	333	605
355	333	603
356	334	601
357	334	600
358	335	598
359	335	596
360	336	595
361	336	593
362	337	592
363	338	590
364	338	589
365	339	587
366	339	586
367	340	584
368	340	582
369	341	581
370	341	579
371	342	578
372	343	576
373	343	575
374	344	573
375	344	571
376	344	570
377	345	568
378	345	566
379	346	565
380	347	563
381	347	562
382	348	560
383	348	559
384	349	557
385	349	556
386	350	554
387	350	553
388	351	551
389	351	550
390	352	548
391	352	547
392	353	545
393	353	544
394	354	542
395	355	541
396	355	540
397	356	538
398	356	537
399	357	536
400	357	534
401	358	533
402	359	531
403	359	530
404	360	529
405	360	527
406	361	526
407	361	525
408	362	523
409	362	522
410	363	520
411	364	519
412	364	518
413	365	516
414	365	515
415	366	513
416	366	512
417	367	511
418	367	509
419	368	508
420	368	506
421	369	505
422	369	504
423	370	502
424	370	501
425	371	500
426	371	498
427	372	497
428	372	496
429	373	494
430	373	493
431	374	492
432	375	491
433	375	489
434	376	488
435	376	487
436	377	485
437	377	484
438	377	483
439	378	481
440	378	480
441	379	479
442	379	477
443	380	476
444	380	475
445	381	473
446	381	472
447	382	471
448	382	469
449	383	468
450	383	467
451	384	466
452	384	464
453	385	463
454	385	462
455	386	460
456	386	459
457	387	458
458	388	457
459	388	456
460	389	454
461	389	453
462	390	452
463	390	451
464	391	450
465	391	449
466	392	447
467	392	446
468	393	445
469	394	444
470	394	443
471	395	442
472	395	441
473	396	440
474	397	438
475	397	437
476	398	436
477	398	435
478	399	434
479	399	432
480	399	431
481	400	430
482	400	429
483	401	427
484	401	426
485	402	425
486	402	424
487	403	423
488	403	422
489	404	420
490	404	419
491	405	418
492	405	417
493	406	416
494	406	414
495	407	413
496	407	412
497	408	411
498	408	410
499	408	408
500	409	407
501	409	406
502	410	405
503	410	404
504	411	403
505	411	401
506	412	400
507	412	399
508	413	398
509	413	397
510	414	396
511	414	395
512	415	394
513	415	392
514	416	391
515	416	390
516	416	389
517	417	388
518	417	387
519	418	386
520	418	385
521	419	384
522	420	383
523	420	381
524	421	380
525	421	379
526	422	378
527	422	377
528	423	376
529	423	375
530	424	374
531	424	373
532	425	372
533	425	371
534	426	370
535	426	369
536	427	368
537	427	367
538	428	366
539	428	365
540	429	364
541	430	363
542	430	362
543	431	361
544	431	360
545	432	359
546	432	358
547	433	357
548	433	356
549	434	355
550	434	354
551	435	353
552	435	352
553	436	351
554	436	350
555	437	349
556	437	348
557	438	347
558	438	346
559	439	345
560	439	343
561	440	343
562	440	342
563	441	341
564	441	340
565	442	339
566	442	338
567	443	337
568	443	336
569	444	334
570	444	333
571	444	332
572	445	331
573	445	330
574	446	330
575	447	329
576	447	328
577	448	327
578	448	326
579	449	325
580	449	324
581	450	323
582	450	322
583	451	321
584	451	320
585	452	319
586	452	318
587	453	317
588	453	316
589	454	315
590	454	314
591	455	313
592	455	312
593	455	311
594	456	310
595	457	309
596	457	309
597	458	308
598	458	307
599	459	306
600	459	305
601	460	304
602	460	303
603	461	302
604	461	301
605	462	300
606	462	299
607	463	298
608	463	297
609	464	296
610	464	295
611	465	294
612	465	293
613	466	293
614	466	292
615	467	291
616	467	290
617	468	289
618	468	288
619	469	287
620	469	286
621	470	285
622	470	284
623	471	283
624	471	282
625	472	282
626	472	281
627	473	280
628	473	279
629	474	278
630	474	277
631	474	276
632	475	275
633	475	274
634	476	273
635	476	272
636	477	271
637	477	271
638	478	270
639	478	269
640	478	268
641	479	267
642	479	266
643	480	265
644	480	264
645	481	263
646	481	262
647	482	261
648	482	260
649	482	260
650	483	259
651	483	258
652	484	257
653	484	256
654	485	255
655	485	254
656	486	253
657	486	252
658	486	251
659	487	251
660	487	250
661	488	249
662	488	248
663	489	247
664	489	246
665	490	245
666	490	245
667	491	244
668	491	243
669	492	242
670	492	241
671	493	240
672	493	239
673	494	239
674	494	238
675	495	237
676	495	236
